ts,device_id,rain_next_60,rain_amount_next_60_mm
2025-07-29 10:20:00+00:00,esp32-01,0,0.0
2025-07-29 10:25:00+00:00,esp32-01,0,0.0
2025-07-29 10:30:00+00:00,esp32-01,0,0.0
2025-07-29 10:35:00+00:00,esp32-01,0,0.0
2025-07-29 10:40:00+00:00,esp32-01,0,0.0
2025-07-29 10:45:00+00:00,esp32-01,0,0.0
2025-07-29 10:50:00+00:00,esp32-01,0,0.0
2025-07-29 10:55:00+00:00,esp32-01,0,0.0
2025-07-29 11:00:00+00:00,esp32-01,0,0.0
2025-07-29 11:05:00+00:00,esp32-01,0,0.0
2025-07-29 11:10:00+00:00,esp32-01,0,0.0
2025-07-29 11:15:00+00:00,esp32-01,1,0.113
2025-07-29 11:20:00+00:00,esp32-01,1,0.113
2025-07-29 11:25:00+00:00,esp32-01,1,0.113
2025-07-29 11:30:00+00:00,esp32-01,1,0.113
2025-07-29 11:35:00+00:00,esp32-01,1,0.113
2025-07-29 11:40:00+00:00,esp32-01,1,0.113
2025-07-29 11:45:00+00:00,esp32-01,1,0.113
2025-07-29 11:50:00+00:00,esp32-01,1,0.113
2025-07-29 11:55:00+00:00,esp32-01,0,0.0
2025-07-29 12:00:00+00:00,esp32-01,0,0.0
2025-07-29 12:05:00+00:00,esp32-01,0,0.0
2025-07-29 12:10:00+00:00,esp32-01,0,0.0
2025-07-29 12:15:00+00:00,esp32-01,0,0.0
2025-07-29 12:20:00+00:00,esp32-01,0,0.0
2025-07-29 12:25:00+00:00,esp32-01,0,0.0
2025-07-29 12:30:00+00:00,esp32-01,0,0.0
2025-07-29 12:35:00+00:00,esp32-01,0,0.0
2025-07-29 12:40:00+00:00,esp32-01,0,0.0
2025-07-29 12:45:00+00:00,esp32-01,0,0.0
2025-07-29 12:50:00+00:00,esp32-01,0,0.0
2025-07-29 12:55:00+00:00,esp32-01,0,0.0
2025-07-29 13:00:00+00:00,esp32-01,0,0.0
2025-07-29 13:05:00+00:00,esp32-01,1,0.147
2025-07-29 13:10:00+00:00,esp32-01,1,0.147
2025-07-29 13:15:00+00:00,esp32-01,1,0.147
2025-07-29 13:20:00+00:00,esp32-01,1,0.147
2025-07-29 13:25:00+00:00,esp32-01,1,0.147
2025-07-29 13:30:00+00:00,esp32-01,1,0.147
2025-07-29 13:35:00+00:00,esp32-01,1,0.178
2025-07-29 13:40:00+00:00,esp32-01,1,0.178
2025-07-29 13:45:00+00:00,esp32-01,1,0.178
2025-07-29 13:50:00+00:00,esp32-01,1,0.178
2025-07-29 13:55:00+00:00,esp32-01,1,0.178
2025-07-29 14:00:00+00:00,esp32-01,1,0.178
2025-07-29 14:05:00+00:00,esp32-01,1,0.031
2025-07-29 14:10:00+00:00,esp32-01,1,0.031
