ts,device_id,temp_c,rh_pct,pressure_hpa,soil_moist_pct,rain_mm_5min
2025-07-29 10:20:00+00:00,esp32-01,28.2,80.6,1008.4,39.9,0.0
2025-07-29 10:25:00+00:00,esp32-01,27.32,71.1,1007.7,39.9,0.0
2025-07-29 10:30:00+00:00,esp32-01,28.33,69.9,1007.9,40.0,0.0
2025-07-29 10:35:00+00:00,esp32-01,28.37,79.4,1008.9,40.1,0.0
2025-07-29 10:40:00+00:00,esp32-01,26.56,78.5,1008.8,40.0,0.0
2025-07-29 10:45:00+00:00,esp32-01,26.88,74.2,1009.1,39.9,0.0
2025-07-29 10:50:00+00:00,esp32-01,27.67,76.1,1008.2,39.8,0.0
2025-07-29 10:55:00+00:00,esp32-01,27.33,76.3,1009.3,39.7,0.0
2025-07-29 11:00:00+00:00,esp32-01,27.43,79.2,1007.5,39.7,0.113
2025-07-29 11:05:00+00:00,esp32-01,26.86,71.7,1008.4,39.6,0.0
2025-07-29 11:10:00+00:00,esp32-01,27.82,68.3,1007.8,39.6,0.0
2025-07-29 11:15:00+00:00,esp32-01,27.69,73.4,1007.0,39.6,0.0
2025-07-29 11:20:00+00:00,esp32-01,27.18,81.6,1007.5,39.8,0.0
2025-07-29 11:25:00+00:00,esp32-01,27.75,82.0,1008.9,39.8,0.0
2025-07-29 11:30:00+00:00,esp32-01,27.27,75.8,1008.1,39.8,0.0
2025-07-29 11:35:00+00:00,esp32-01,26.4,74.0,1007.5,39.7,0.0
2025-07-29 11:40:00+00:00,esp32-01,27.06,77.9,1008.6,39.7,0.0
2025-07-29 11:45:00+00:00,esp32-01,26.19,78.6,1009.2,39.8,0.0
2025-07-29 11:50:00+00:00,esp32-01,27.22,79.3,1009.3,39.6,0.0
2025-07-29 11:55:00+00:00,esp32-01,26.58,70.1,1009.0,39.5,0.0
2025-07-29 12:00:00+00:00,esp32-01,26.43,87.4,1009.0,39.5,0.0
2025-07-29 12:05:00+00:00,esp32-01,26.05,81.5,1008.7,39.4,0.0
2025-07-29 12:10:00+00:00,esp32-01,27.12,77.8,1009.7,39.4,0.0
2025-07-29 12:15:00+00:00,esp32-01,26.22,76.4,1009.1,39.3,0.0
2025-07-29 12:20:00+00:00,esp32-01,25.98,81.8,1009.2,39.3,0.0
2025-07-29 12:25:00+00:00,esp32-01,25.95,80.5,1010.1,39.2,0.0
